"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Jorge Alcala","TOR","RP","21.5","22","1","0","4.57","1.36","11","20","9","4","21","0","1","0"
"Brendan Beck","NYY","SP","17.0","14","1","0","4.41","1.26","8","17","5","3","17","0","1","0"
"Jayden Murray","HOU","RP","29.0","25","1","0","4.52","1.40","15","28","13","4","28","0","1","0"
"Hector Neris","KC","RP","22.0","23","1","0","4.56","1.38","11","20","10","3","23","0","2","0"
"Tanner Gordon","COL","SP","125.5","87","5","0","5.48","1.44","76","149","31","24","24","24","10","0"
"Dom Hamel","NYY","SP,RP","26.6","24","1","0","4.64","1.37","14","26","11","4","25","0","1","0"
"Easton Lucas","","SP,RP","21.9","21","1","0","4.31","1.41","11","21","11","3","12","1","2","0"
"Shane Drohan","BOS","SP","17.7","17","1","0","4.24","1.36","8","17","8","2","18","0","1","0"
"Nick Burdi","NYM","RP","12.0","14","1","0","3.88","1.34","5","10","6","1","12","0","0","0"
"Keegan Thompson","COL","RP","34.6","34","1","0","4.73","1.43","18","34","15","5","31","0","2","0"
"Mason Black","KC","SP,RP","45.4","37","2","0","4.98","1.46","25","46","20","7","24","4","3","0"
"Jose Espada","BAL","RP","17.4","19","1","0","4.39","1.37","8","15","9","2","15","0","1","0"
"Ixan Henderson","STL","SP","15.0","13","1","0","3.89","1.36","7","13","8","1","12","1","1","0"
"Carson Fulmer","","SP,RP","19.3","18","1","0","4.21","1.40","9","19","9","2","10","1","1","0"
"Ky Bush","CWS","SP","26.6","21","2","0","4.58","1.52","14","27","13","3","15","3","3","0"
"Spencer Miles","TOR","SP","18.1","18","1","0","4.23","1.40","9","18","8","3","18","0","1","0"
"Luis Guerrero","TB","RP","29.8","26","2","0","4.88","1.49","16","28","16","4","28","0","2","0"
"Konnor Pilkington","WSH","RP","27.5","27","1","0","4.49","1.45","14","25","15","3","27","0","2","0"
"Ryan Lambert","NYM","RP","13.5","15","1","0","4.19","1.34","6","11","7","2","13","0","1","0"
"Angel Bastardo","TOR","SP","19.0","18","1","0","4.34","1.38","9","18","8","2","16","1","1","0"
"Alex Faedo","","SP,RP","12.8","13","1","0","4.22","1.29","6","12","5","2","8","1","1","0"
"Domingo Gonzalez","SEA","RP","18.0","17","1","0","4.37","1.37","9","17","8","2","18","0","1","0"
"Robert Stock","NYM","SP,RP","18.0","20","1","0","4.26","1.45","9","16","10","2","13","1","1","0"
"Alan Rangel","PHI","SP,RP","26.6","22","1","0","4.77","1.35","14","27","9","5","13","3","1","0"
"Joey Estes","ATH","SP","28.1","21","1","0","4.94","1.30","15","29","8","5","22","1","1","0"
"Genesis Cabrera","PHI","RP","24.8","23","1","0","4.62","1.40","13","24","11","4","25","0","1","0"
"Trevor Stephan","CLE","RP","15.1","14","1","0","4.28","1.34","7","14","6","2","15","0","1","0"
"Roansy Contreras","","SP,RP","34.9","25","2","0","4.90","1.46","19","37","15","6","22","1","2","0"
"Wade Miley","","SP","36.9","23","2","0","4.88","1.44","20","40","14","5","7","7","3","1"
"Cameron Foster","BAL","RP","22.5","20","1","0","4.57","1.39","11","23","9","3","22","0","1","0"
"Braden Nett","ATH","SP","35.8","29","2","0","4.88","1.50","19","36","18","5","17","5","2","0"
"Dillon Tate","","RP","13.5","12","1","0","3.99","1.37","6","13","6","1","13","0","1","0"
"Alex Hoppe","SEA","RP","19.5","18","1","0","4.26","1.44","9","18","10","2","19","0","1","0"
"Prelander Berroa","CWS","RP","29.5","30","1","0","4.55","1.49","15","26","17","4","29","0","2","0"
"Ty Madden","DET","RP","22.2","20","1","0","4.56","1.40","11","22","9","3","14","2","1","0"
"K.C. Hunt","MIL","SP","12.0","11","1","0","4.30","1.28","6","11","4","2","12","0","1","0"
"Thomas Harrington","PIT","SP,RP","26.8","21","1","0","4.76","1.36","14","28","9","4","11","4","2","0"
"David Sandlin","CWS","SP,RP","17.1","15","1","0","4.48","1.35","8","17","6","3","17","0","1","0"
"Cam Booser","TB","RP","18.4","21","1","0","4.54","1.44","9","18","9","3","19","0","1","0"
"Tanner Houck","BOS","SP","17.1","14","1","0","4.42","1.35","8","17","6","2","5","2","1","0"
"Julian Aguiar","CIN","SP","33.2","24","1","0","4.85","1.36","18","35","10","5","25","2","2","0"
"Alek Jacob","SD","RP","31.1","28","1","0","4.79","1.42","17","30","14","5","28","0","2","0"
"Bryce Montes de Oca","WSH","RP","12.3","14","1","0","4.00","1.44","5","11","7","1","12","0","1","0"
"T.J. McFarland","","RP","28.9","19","1","0","4.41","1.42","14","31","10","3","31","0","2","0"
"Jake Miller","DET","SP","14.2","12","1","0","4.36","1.33","7","14","5","2","14","0","1","0"
"Sauryn Lao","","RP","9.9","8","1","0","3.92","1.28","4","9","3","1","8","0","1","0"
"Gavin Hollowell","CHC","RP","17.4","18","1","0","4.48","1.42","9","16","9","2","16","0","1","0"
"John Brebbia","","RP","22.2","22","1","0","4.81","1.39","12","23","8","4","22","0","1","0"
"Marc Church","TEX","RP","35.6","33","2","0","4.89","1.55","19","34","21","5","34","0","2","0"
"Austin Love","STL","SP","29.4","25","1","0","4.67","1.43","15","29","13","4","29","0","2","0"
"Ryan Loutos","SEA","RP","21.8","19","1","0","4.51","1.42","11","21","10","3","22","0","1","0"
"Nick Anderson","ATH","RP","20.8","19","1","0","4.68","1.39","11","21","8","3","20","0","1","0"
"Kevin Herget","NYM","RP","10.3","9","1","0","4.40","1.24","5","10","3","2","6","0","0","0"
"Carlos Carrasco","ATL","SP","39.0","29","2","0","5.03","1.47","22","43","14","6","8","8","3","0"
"Tanner Rainey","DET","RP","15.4","16","1","0","4.47","1.41","8","14","8","2","16","0","1","0"
"Jack Neely","CHC","RP","19.0","20","1","0","4.59","1.44","10","17","10","3","19","0","1","0"
"Miguel Castro","LAA","RP","21.2","18","1","0","4.56","1.41","11","20","9","3","21","0","1","0"
"Shane Murphy","CWS","RP","17.7","12","1","0","4.62","1.31","9","19","4","3","18","0","1","0"
"Ronan Kopp","LAD","SP,RP","13.5","15","1","0","4.20","1.47","6","11","9","2","13","0","1","0"
"Jhancarlos Lara","ATL","SP,RP","14.3","16","1","0","4.24","1.48","7","12","9","1","14","0","1","0"
"Jack Little","DET","RP","11.6","10","1","0","4.27","1.34","6","11","5","1","8","0","1","0"
"Enoli Paredes","BAL","RP","8.6","10","1","0","4.19","1.34","4","7","5","1","8","0","1","0"
"Tyler Uberstine","BOS","SP","12.4","11","1","0","4.45","1.34","6","13","4","2","11","0","1","0"
"Garrett Acton","MIA","RP","19.9","19","1","0","4.74","1.41","10","19","9","3","20","0","1","0"
"Eric Cerantola","KC","RP","17.3","17","1","0","4.48","1.45","9","16","9","2","16","0","1","0"
"Bryan Sammons","DET","RP","18.6","17","1","0","4.60","1.42","10","18","9","4","4","1","1","0"
"Nolan Hoffman","PHI","SP,RP","16.5","16","1","0","4.44","1.45","8","16","8","2","16","0","1","0"
"Doug Nikhazy","CLE","SP,RP","29.3","26","1","0","4.71","1.46","15","29","14","4","20","2","2","0"
"Landon Knack","LAD","SP","23.9","21","1","0","4.94","1.38","13","23","10","4","13","3","1","0"
"William Kempner","MIA","RP","24.1","23","1","0","4.64","1.47","12","23","13","3","24","0","2","0"
"Jackson Wolf","SD","SP","10.7","9","1","0","4.35","1.32","5","10","4","2","10","0","1","0"
"Duncan Davitt","CWS","SP","29.1","22","1","0","4.90","1.38","16","31","10","4","13","4","2","0"
"Josh Ekness","MIA","RP","16.9","15","1","0","4.46","1.43","8","16","8","2","16","0","1","0"
"Jayvien Sandridge","LAA","RP","22.9","26","1","0","4.64","1.52","12","20","15","3","24","0","1","0"
"Dugan Darnell","DET","RP","11.2","12","1","0","4.43","1.39","6","10","6","1","8","0","1","0"
"Brian Van Belle","TB","SP,RP","10.6","8","1","0","4.24","1.32","5","12","3","2","5","1","1","0"
"Rolddy Munoz","ATL","RP","19.1","17","1","0","4.45","1.46","9","18","9","2","18","0","1","0"
"Robinson Pina","","SP,RP","9.5","8","1","0","4.25","1.31","5","10","3","2","8","1","1","0"
"Valente Bellozo","COL","SP,RP","25.4","18","1","0","4.61","1.42","13","28","8","5","6","6","2","0"
"James Karinchak","ATL","RP","11.9","13","1","0","4.52","1.41","6","10","6","2","12","0","1","0"
"Seth Martinez","BOS","RP","13.6","12","1","0","4.57","1.37","7","13","5","2","13","0","1","0"
"Scott Effross","DET","RP","17.9","12","1","0","4.41","1.40","9","19","6","2","17","0","1","0"
"Jhonathan Diaz","","RP","12.8","9","1","0","4.31","1.36","6","13","4","1","9","1","1","0"
"Scott McGough","","RP","26.5","24","1","0","4.87","1.43","14","26","11","4","25","0","1","0"
"Chris Flexen","","RP","24.9","19","1","0","4.69","1.42","13","27","9","4","12","1","2","0"
"Will Johnston","ATH","SP,RP","11.3","11","1","0","4.36","1.41","5","10","6","2","11","0","1","0"
"Ryan Rolison","CHC","RP","20.3","16","1","0","4.62","1.42","10","21","8","3","18","0","1","0"
"Nestor German","BAL","SP","11.2","10","1","0","4.41","1.38","6","11","5","2","3","3","1","0"
"Shinnosuke Ogasawara","WSH","SP,RP","13.8","10","1","0","4.50","1.36","7","15","4","2","11","0","1","0"
"Blas Castano","SEA","SP,RP","13.3","10","1","0","4.48","1.37","7","13","5","2","12","0","1","0"
"Tom Cosgrove","HOU","RP","13.9","13","1","0","4.60","1.41","7","13","7","2","14","0","1","0"
"Jose Franco","CIN","SP,RP","15.7","15","1","0","4.84","1.39","8","15","7","2","15","0","1","0"
"Lyon Richardson","CIN","RP","23.7","20","1","0","4.56","1.48","12","23","12","3","21","0","1","0"
"Jake Bloss","TOR","SP","13.8","12","1","0","4.63","1.39","7","14","6","2","12","0","1","0"
"Blake Walston","ARI","RP","15.4","13","1","0","4.56","1.42","8","15","7","2","12","1","1","0"
"Isaiah Campbell","ARI","RP","17.6","13","1","0","4.52","1.42","9","19","6","2","18","0","1","0"
"Jake Eder","WSH","SP,RP","24.4","20","1","0","4.80","1.43","13","25","10","3","21","0","1","0"
"Lucas Sims","CWS","RP","32.5","32","2","0","5.25","1.54","19","29","21","5","34","0","2","0"
"Dan Altavilla","MIN","RP","31.7","26","1","0","4.74","1.47","17","31","16","4","32","0","2","0"
"Alexander Alberto","CWS","RP","43.8","36","2","0","4.93","1.55","24","44","24","5","43","0","3","0"
"Orlando Ribalta","WSH","RP","30.3","28","1","0","4.78","1.49","16","29","16","4","30","0","1","0"
"Joe La Sorsa","PIT","RP","15.1","11","1","0","4.43","1.42","7","16","6","2","14","0","1","0"
"Dax Fulton","MIA","SP","19.0","16","1","0","4.53","1.47","10","19","9","2","12","2","1","0"
"Hans Crouse","BAL","RP","7.3","8","1","0","4.40","1.36","4","6","4","1","7","0","1","0"
"Christian MacLeod","MIN","P","7.9","8","1","0","4.32","1.38","4","7","4","1","7","0","0","0"
"Christian Roa","HOU","RP","8.8","8","1","0","4.11","1.43","4","8","5","1","6","1","1","0"
"Randy Dobnak","SEA","RP","13.7","10","1","0","4.44","1.41","7","14","6","2","11","0","1","0"
"Bryse Wilson","PHI","SP,RP","28.2","20","1","0","4.94","1.39","16","30","9","5","13","3","2","0"
"John Curtiss","ARI","RP","21.1","17","1","0","4.90","1.40","12","22","8","4","18","0","2","0"
"Tate Kuehner","MIL","SP","9.5","8","1","0","4.34","1.40","5","9","5","1","9","0","1","0"
"J.P. France","HOU","SP,RP","15.3","13","1","0","4.69","1.42","8","15","7","2","12","0","1","0"
"Henry Baez","ATH","SP","17.4","12","1","0","4.57","1.42","9","18","7","2","5","3","1","0"
"A.J. Causey","KC","RP","11.2","9","1","0","4.50","1.40","6","11","4","2","11","0","1","0"
"Yilber Diaz","ARI","RP","29.2","28","1","1","4.82","1.54","16","28","17","4","22","2","1","0"
"Jeff Criswell","COL","RP","18.8","18","1","0","4.82","1.46","10","19","8","3","17","0","1","0"
"Zack Thompson","STL","RP","14.0","14","1","0","4.65","1.47","7","13","8","2","9","1","1","0"
"Francis Pena","SD","RP","13.5","11","1","0","4.43","1.46","7","14","6","2","13","0","1","0"
"Scott Blewett","STL","RP","22.6","17","1","0","4.80","1.43","12","24","9","3","20","0","1","0"
"Dale Stanavich","MIA","RP","13.8","13","1","0","4.49","1.50","7","13","8","2","14","0","1","0"
"Cam Sanders","PIT","RP","25.9","25","1","0","4.70","1.53","14","24","16","3","25","0","1","0"
"Jurrangelo Cijntje","STL","SP","16.6","13","1","0","4.62","1.45","9","17","8","3","4","4","1","0"
"Robby Ahlstrom","TEX","RP","22.1","19","1","0","4.73","1.48","12","22","11","3","22","0","1","0"
"Sam Benschoter","CIN","RP","21.1","15","1","0","4.65","1.45","11","23","7","3","19","0","1","0"
"Marco Raya","MIN","SP,RP","20.2","18","1","0","4.70","1.49","11","20","10","3","20","0","1","0"
"Seth Johnson","PHI","SP,RP","20.8","19","1","0","4.80","1.48","11","21","10","3","19","0","1","0"
"Ben Lively","","SP","12.0","9","1","0","4.66","1.40","6","12","4","2","2","2","1","0"
"Gabriel Hughes","COL","SP","40.3","28","2","0","5.14","1.49","23","45","15","6","17","6","3","0"
"Andrew Sears","DET","SP","9.5","8","1","0","4.74","1.38","5","9","4","1","9","0","1","0"
"Osvaldo Bido","NYY","SP,RP","19.6","17","1","0","4.95","1.44","11","20","9","3","6","2","1","0"
"Christian Montes De Oca","ARI","RP","11.2","9","1","0","4.83","1.39","6","11","5","2","5","0","1","0"
"Marco Gonzales","SD","SP","24.7","18","1","0","4.94","1.42","14","27","9","4","5","5","1","0"
"Josh Staumont","CIN","RP","11.4","11","1","0","4.75","1.46","6","11","6","1","11","0","1","0"
"Kyle Keller","BOS","RP","30.1","29","1","0","5.09","1.47","17","30","15","5","30","0","1","0"
"Brandon Waddell","NYM","RP","22.4","19","1","0","4.86","1.47","12","23","10","3","9","0","1","0"
"Ben Bowden","ATH","RP","11.6","12","1","0","4.67","1.51","6","10","8","1","14","0","1","0"
"Levi Wells","BAL","SP","9.8","8","1","0","4.15","1.54","5","10","5","1","3","3","1","0"
"Vinny Nittoli","BOS","RP","11.6","12","1","0","5.06","1.43","7","12","5","2","9","0","1","0"
"Freddy Tarnok","MIA","SP,RP","12.1","12","1","0","4.84","1.49","7","11","7","2","7","1","1","0"
"Connor Thomas","MIL","RP","10.9","8","1","0","4.54","1.47","6","12","4","2","4","1","1","0"
"Will Childers","MIL","RP","10.5","9","1","0","4.61","1.49","5","11","5","2","10","0","1","0"
"Jake Miller","CLE","SP","10.0","7","1","0","4.73","1.43","5","10","4","1","10","0","1","0"
"Jaden Woods","PIT","RP","18.6","15","1","0","4.75","1.50","10","19","9","2","19","0","1","0"
"Yunior Marte","CIN","RP","15.0","13","1","0","4.92","1.47","8","15","7","2","15","0","1","0"
"Hayden Durke","ARI","RP","9.0","9","1","0","4.52","1.56","5","8","6","1","9","0","1","0"
"Sam Long","","RP","21.0","19","1","0","4.92","1.50","12","21","11","3","22","0","2","0"
"Thomas Hatch","ARI","SP,RP","16.2","13","1","0","4.91","1.46","9","17","6","2","7","0","1","0"
"Elvin Rodriguez","","RP","10.1","8","1","0","4.90","1.43","6","11","4","2","3","3","1","0"
"Victor Mederos","LAA","SP,RP","25.7","20","1","0","4.97","1.46","14","26","11","4","22","0","1","0"
"Nathan Wiles","","RP","7.4","6","1","0","4.86","1.42","4","8","3","2","6","1","0","0"
"Ken Waldichuk","WSH","SP","17.4","17","1","0","5.05","1.49","10","17","9","3","9","2","1","0"
"Wilber Dotel","PIT","SP","27.4","21","1","0","4.98","1.46","15","28","11","4","14","3","2","0"
"Chayce McDermott","BAL","SP,RP","16.4","16","1","0","4.96","1.52","9","16","9","2","9","2","1","0"
"Nabil Crismatt","TEX","SP,RP","12.9","10","1","0","5.06","1.43","7","14","4","3","6","1","1","0"
"Triston McKenzie","SD","SP,RP","26.0","24","1","0","5.13","1.48","15","25","14","5","13","3","2","0"
"Anthony Misiewicz","CIN","RP","9.1","8","1","0","5.45","1.38","6","9","4","2","10","0","1","0"
"Brandon Walter","HOU","SP","6.5","6","0","0","3.79","1.11","3","6","1","1","1","1","0","0"
"Travis Sykora","WSH","SP","16.5","17","1","0","4.91","1.58","9","16","11","2","16","1","1","0"
"Matt Krook","ATH","RP","8.6","9","1","0","4.73","1.63","5","7","7","1","9","0","1","0"
"Darren McCaughan","CIN","SP,RP","11.1","9","1","0","5.28","1.44","7","13","4","3","4","1","1","0"
"Connor Seabold","TOR","RP","12.0","10","1","0","5.26","1.46","7","13","5","3","7","1","1","0"
"Andry Lara","WSH","RP","30.6","23","1","0","4.93","1.50","17","32","14","4","21","0","1","0"
"Anthony Maldonado","HOU","RP","9.6","10","1","0","5.15","1.56","6","10","6","2","11","0","1","0"
"Daniel Robert","PHI","RP","8.4","9","0","0","4.09","1.30","4","7","4","1","9","0","0","0"
"Austin Pope","ATL","RP","9.6","10","1","0","5.16","1.56","6","10","6","1","5","0","1","0"
"Sam Aldegheri","LAA","SP","37.2","28","2","0","5.33","1.53","22","39","18","6","10","6","3","0"
"Ben Kudrna","KC","SP","14.7","11","1","0","5.02","1.50","8","16","7","2","8","2","1","0"
"Tyson Miller","CWS","RP","16.6","14","1","0","4.87","1.56","9","16","10","2","15","0","2","0"
"Anthony Veneziano","","RP","15.3","13","1","0","4.71","1.60","8","16","9","2","15","1","1","0"
"AJ Smith-Shawver","ATL","SP","8.5","9","0","0","4.38","1.29","4","8","3","1","5","1","0","0"
"Sem Robberse","STL","SP","11.3","9","1","0","4.80","1.60","6","12","6","2","10","1","1","0"
"Tejay Antone","CIN","SP,RP","14.5","12","1","0","5.01","1.55","8","16","7","2","14","0","1","0"
"Carson Ragsdale","","SP,RP","13.4","12","1","0","5.04","1.57","8","13","8","3","5","1","1","0"
"Tyler Zuber","MIA","RP","12.6","13","1","0","5.36","1.55","8","13","7","2","10","0","1","0"
"Chen Zhong-Ao Zhuang","ATH","SP","9.6","8","0","0","4.59","1.24","5","10","2","2","9","0","1","0"
"Austin Cox","","RP","15.8","14","1","0","5.13","1.55","9","17","8","3","10","0","1","0"
"Reggie Crawford","SF","RP","9.5","10","0","0","4.34","1.37","5","8","5","1","9","0","1","0"
"Jack Kochanowicz","LAA","SP","29.9","19","1","0","4.97","1.49","17","33","12","4","18","3","2","0"
"Beau Burrows","PIT","RP","13.3","11","1","0","5.08","1.58","8","13","8","2","14","0","1","0"
"Dedniel Nunez","NYM","RP","5.2","5","0","0","3.52","1.30","2","4","2","1","5","0","0","0"
"Omar Cruz","SD","RP","9.7","10","1","0","5.08","1.69","6","9","8","1","6","1","1","0"
"Taylor Rashi","ARI","RP","11.3","11","0","0","4.31","1.45","5","11","6","1","10","0","0","0"
"Dylan Coleman","NYY","RP","11.3","11","1","0","4.95","1.69","6","10","9","1","12","0","1","0"
"Tyler Mattison","","RP","13.6","14","1","0","4.97","1.69","8","11","13","1","13","0","1","0"
"Jake Woodford","TB","SP,RP","19.2","15","1","0","5.17","1.54","11","21","9","3","11","1","1","0"
"Guillo Zuniga","SEA","RP","9.3","8","0","0","4.47","1.36","5","9","4","1","9","0","1","0"
"Nigel Belgrave","MIA","RP","7.6","7","0","0","4.16","1.39","4","7","4","1","8","0","0","0"
"Jose De Leon","BOS","SP,RP","28.7","27","1","1","5.18","1.60","17","29","17","5","6","6","2","0"
"Adam Macko","TOR","SP,RP","10.8","10","0","0","4.47","1.44","5","10","5","1","8","1","1","0"
"Carl Edwards Jr.","NYM","RP","7.3","7","0","0","4.32","1.39","4","7","3","1","7","0","0","0"
"Austin Kitchen","SEA","RP","8.0","5","0","0","4.38","1.31","4","8","2","1","8","0","0","0"
"Ben Shields","COL","SP","9.5","8","0","0","4.51","1.40","5","10","4","1","9","0","1","0"
"Collin Snider","CHC","RP","9.0","7","0","0","4.55","1.38","5","9","3","1","9","0","1","0"
"Tucker Davidson","PHI","RP","7.3","6","0","0","4.47","1.38","4","7","3","1","7","0","0","0"
"Leandro Lopez","TEX","SP","6.9","6","0","0","4.55","1.37","4","6","3","1","2","2","1","0"
"Max Kranick","","RP","4.3","3","0","0","4.19","1.28","2","4","2","1","4","0","1","0"
"Michael Mercado","PHI","RP","9.3","8","1","0","5.34","1.73","6","9","7","2","6","0","1","0"
"Noah Davis","PIT","RP","7.3","6","0","0","4.57","1.39","4","7","3","1","7","0","0","0"
"Carson Palmquist","COL","SP,RP","34.2","31","1","0","5.35","1.53","20","35","17","6","17","4","2","0"
"Davis Daniel","CIN","SP","22.8","18","1","0","5.34","1.54","14","25","10","5","7","3","2","0"
"Ben Peoples","CWS","RP","8.4","7","0","0","4.68","1.41","4","8","4","1","8","0","0","0"
"Nick Hernandez","ATH","RP","8.3","9","0","0","5.02","1.41","5","8","4","1","7","0","0","0"
"Brian Fitzpatrick","MIL","P","7.6","7","0","0","4.48","1.47","4","8","4","1","8","0","1","0"
"Cole Irvin","LAD","SP,RP","12.0","9","0","0","4.80","1.42","6","13","4","2","9","1","0","0"
"Jared Shuster","STL","SP,RP","12.8","9","1","0","5.28","1.64","8","15","6","2","7","1","1","0"
"Corbin Martin","CHC","RP","7.9","7","0","0","4.61","1.46","4","8","4","1","8","0","0","0"
"Jackson Jobe","DET","SP,RP","7.2","6","0","0","4.49","1.47","4","7","4","1","2","2","0","0"
"Eduardo Salazar","MIN","RP","17.6","14","1","0","5.11","1.65","10","19","10","2","17","0","2","0"
"Eric Reyzelman","NYY","RP","7.5","7","0","0","4.64","1.50","4","7","4","1","7","0","0","0"
"Zach Brzykcy","MIA","RP","18.9","19","1","0","5.39","1.65","11","19","12","3","20","0","1","0"
"Jake Bennett","BOS","SP","8.0","6","0","0","4.71","1.44","4","9","3","1","8","0","0","0"
"Sean Reynolds","","RP","18.1","17","1","0","5.22","1.68","11","16","15","2","13","0","1","0"
"Juan Sanchez","SF","RP","8.0","7","0","0","4.73","1.49","4","8","4","1","8","0","0","0"
"Owen White","","SP,RP","11.8","8","1","0","5.32","1.69","7","13","8","2","6","1","1","0"
"Pete Hansen","STL","SP","8.6","6","0","0","4.71","1.45","4","10","3","1","2","2","1","0"
"Carson Spiers","CIN","SP,RP","6.2","5","0","0","4.77","1.47","3","6","3","1","2","1","0","0"
"Eiberson Castellano","COL","RP","8.0","7","0","0","4.86","1.49","4","9","3","1","8","0","1","0"
"Bradley Blalock","MIA","SP","19.7","13","1","0","5.38","1.56","12","22","9","3","14","1","1","0"
"Jean Cabrera","PHI","SP","12.3","9","0","0","4.95","1.46","7","12","5","2","2","2","1","0"
"Stevie Emanuels","ATH","RP","7.3","7","0","0","4.88","1.54","4","7","4","1","7","0","1","0"
"Joe Elbis","ARI","SP","5.9","4","0","0","4.98","1.43","3","6","2","1","3","1","0","0"
"Riley Cornelio","WSH","SP","23.8","17","1","0","5.40","1.55","14","26","11","4","5","5","2","0"
"Kyle Bischoff","MIN","P","8.0","7","0","0","4.82","1.54","4","8","4","1","8","0","1","0"
"Luis Peralta","COL","RP","30.9","29","1","0","5.27","1.61","18","32","18","5","32","0","2","0"
"Yoniel Curet","PHI","SP","10.3","9","0","0","5.01","1.52","6","10","6","1","5","2","1","0"
"Troy Watson","DET","SP","8.2","6","0","0","5.13","1.48","5","9","3","1","2","2","1","0"
"Carson Coleman","NYY","RP","6.0","6","0","0","5.50","1.50","4","6","3","1","6","0","0","0"
"Anthony Molina","ATL","RP","20.5","15","1","0","5.49","1.60","13","24","9","3","11","0","1","0"
"Jairo Iriarte","CWS","RP","13.9","12","0","0","5.03","1.55","8","14","8","2","13","0","1","0"
"Bryce Jarvis","ARI","RP","18.2","14","1","0","5.51","1.64","11","20","10","3","11","0","1","0"
"Casey Lawrence","SEA","RP","8.6","4","0","0","5.22","1.42","5","10","2","2","2","2","1","0"
"Sean Sullivan","PIT","SP","8.7","6","0","0","5.17","1.50","5","10","3","1","2","2","1","0"
"Logan VanWey","HOU","RP","10.1","10","1","0","5.81","1.89","7","9","10","2","8","0","1","0"
"Casey Kelly","","RP","8.7","4","1","0","5.69","1.84","6","11","5","2","5","1","0","0"
"Nick Frasso","LAD","SP,RP","11.7","9","1","0","5.79","1.76","8","12","9","2","11","1","1","0"
"Brett Wichrowski","MIL","SP","7.8","5","0","0","5.36","1.50","5","8","3","1","2","2","1","0"
"Kevin Abel","CIN","P","9.1","7","0","0","5.39","1.52","5","9","5","2","9","0","1","0"
"Walbert Urena","LAA","SP","9.9","7","0","0","5.06","1.58","6","11","5","1","7","1","1","0"
"Tommy Henry","ARI","RP","6.0","5","0","0","5.28","1.68","4","7","3","1","2","2","1","0"
"Jagger Haynes","SD","SP","10.4","8","0","0","5.33","1.56","6","11","6","1","2","2","1","0"
"Michael Arias","NYY","RP","11.0","11","1","0","6.15","2.05","8","11","12","2","11","0","1","0"
"Antonio Senzatela","COL","SP,RP","59.4","36","2","0","5.38","1.57","36","73","20","9","41","2","4","0"
""
""